Labor force status,Govt or private employee,Do not have a car,Need but unable to use public transport.,How likely r make effort for new job next year,Could r find equally good job,Is r likely to lose job,Expanded norc. size code,Respondents income,Race of respondent,Respondents sex,Highest year of school completed,Age of respondent,Number of children,Rs occupational prestige score (2010)
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,"Uninc,med city",$40000 to 49999,White,Male,12,63,1,45
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,"Uninc,med city",Not applicable,White,Female,12,67,4,31
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Uninc,med city",$30000 to 34999,White,Male,12,33,2,38
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Uninc,med city",Not applicable,White,Female,16,62,4,53
Working parttime,Private,No,No,Not at all likely,Not applicable,Not applicable,"Uninc,med city",Not applicable,White,Female,16,48,3,48
Working fulltime,Private,No,No,Not at all likely,Somewhat easy,Not too likely,"Uninc,med city",$90000 - $109999,White,Female,16,41,3,50
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Uninc,med city",Not applicable,White,Female,12,51,3,37
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Uninc,med city",Not applicable,White,Female,20,35,3,32
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not easy,Not likely,"Uninc,med city",$110000 or over,White,Male,13,51,3,39
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Uninc,med city",$60000 to 74999,White,Male,16,41,4,58
Working parttime,Private,No,No,Not at all likely,Not applicable,Not applicable,"Uninc,med city",Not applicable,White,Female,12,36,2,45
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,"Uninc,med city",$75000 to $89999,White,Male,16,55,2,65
Working fulltime,Private,Not applicable,Not applicable,Very likely,Very easy,Very likely,"Uninc,med city",$1 000 to 2 999,White,Male,11,18,0,24
Working parttime,No answer,No,Yes,Somewhat likely,Not easy,Not likely,"Uninc,med city",$6 000 to 6 999,White,Female,13,48,2,25
Working parttime,Private,Not applicable,Not applicable,Not at all likely,Somewhat easy,Not likely,"Uninc,med city",$1 000 to 2 999,White,Male,13,19,0,44
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not easy,Not too likely,"City,50-250000",Not applicable,Other,Male,20,27,0,80
School,Private,Yes,No,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,Black,Female,12,19,0,22
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,Black,Male,8,67,0,20
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Female,7,24,1,24
School,Private,Yes,No,Not applicable,Not applicable,Not applicable,"City,50-250000",$4 000 to 4 999,White,Male,12,28,0,38
Retired,Government,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Female,16,71,0,61
Working fulltime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,"Suburb, lrg city",$17500 to 19999,Black,Female,12,42,2,40
Working parttime,Private,No,No,Not at all likely,Somewhat easy,Not likely,"Suburb, lrg city",Not applicable,White,Female,12,67,6,60
School,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",$30000 to 34999,White,Female,13,48,3,48
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$110000 or over,White,Male,16,42,0,53
Working fulltime,Private,No,No,Not at all likely,Not easy,Not likely,"Suburb, lrg city",$40000 to 49999,White,Male,14,44,2,25
Working fulltime,Private,No,No,Somewhat likely,Somewhat easy,Not too likely,"Suburb, lrg city",$50000 to 59999,White,Male,12,43,4,53
Retired,Government,No,No,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,12,80,2,48
Keeping house,Private,No,No,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,12,78,5,40
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$22500 to 24999,White,Male,12,31,0,24
Working fulltime,Private,No,No,Not at all likely,Not easy,Not likely,"Suburb, lrg city",$90000 - $109999,White,Male,12,55,3,39
Working fulltime,Private,No,No,Somewhat likely,Not easy,Fairly likely,"Suburb, lrg city",$30000 to 34999,White,Male,12,42,1,48
Working parttime,Private,Not applicable,Not applicable,Not at all likely,Somewhat easy,Not likely,"Suburb, lrg city",$17500 to 19999,White,Female,12,67,1,47
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Male,8,67,5,41
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Somewhat easy,Not likely,"Suburb, lrg city",Refused,White,Female,14,58,2,47
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Somewhat easy,Not too likely,"Suburb, lrg city",$60000 to 74999,White,Male,16,38,3,45
"Unempl, laid off",Private,No,No,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,12,34,4,28
Working fulltime,Private,No,No,Somewhat likely,Not applicable,Not applicable,"Suburb, lrg city",$60000 to 74999,White,Male,16,47,4,61
Working fulltime,Government,No,No,Not at all likely,Very easy,Not likely,"Suburb, lrg city",Not applicable,White,Male,17,65,2,39
Working fulltime,Private,No,No,Not at all likely,Not easy,Not likely,"Suburb, lrg city",$60000 to 74999,White,Male,15,52,3,53
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Somewhat easy,Not too likely,"Suburb, lrg city",$30000 to 34999,White,Female,16,24,0,64
Working fulltime,Private,No,No,Very likely,Not easy,Fairly likely,"Suburb, lrg city",$50000 to 59999,White,Male,12,53,2,57
Working parttime,Private,No,No,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$15000 to 17499,White,Female,12,27,2,17
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",No answer,White,Female,17,30,1,31
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,"Suburb, lrg city",$60000 to 74999,Other,Female,17,35,2,58
Working fulltime,Private,No,No,Somewhat likely,Not easy,Fairly likely,"Suburb, lrg city",$20000 to 22499,White,Male,13,55,4,31
Keeping house,Private,No,No,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,16,45,5,60
"Unempl, laid off",Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",$60000 to 74999,White,Male,12,54,2,63
Working fulltime,Private,No,No,Not at all likely,Very easy,Not likely,"Suburb, lrg city",$75000 to $89999,White,Male,13,41,2,44
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$60000 to 74999,White,Male,16,24,0,63
Working fulltime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,"Suburb, lrg city",$50000 to 59999,White,Female,16,33,0,46
Working fulltime,Private,No,No,Somewhat likely,Not easy,Not too likely,"City,50-250000",$25000 to 29999,White,Male,13,27,2,38
Retired,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,Black,Female,11,70,4,0
Working parttime,Private,Not applicable,Not applicable,Somewhat likely,Not easy,Fairly likely,"City,50-250000",Not applicable,Other,Male,6,27,4,44
School,Not applicable,No,No,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,Other,Male,11,21,0,0
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"City,50-250000",$12500 to 14999,White,Female,12,49,4,48
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Male,11,33,0,50
Working parttime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"City,50-250000",$1 000 to 2 999,White,Female,11,29,4,31
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,"City,50-250000",Not applicable,Black,Male,12,37,3,29
Other,Government,No,No,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Female,13,57,2,48
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"City,50-250000",$30000 to 34999,Black,Male,15,44,5,48
School,Private,No,No,Not applicable,Not applicable,Not applicable,"City,50-250000",$8 000 to 9 999,White,Female,14,20,0,55
Keeping house,Private,No,No,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Female,10,41,2,33
Working fulltime,Private,No,No,Not at all likely,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Male,15,31,2,46
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Female,12,72,1,47
School,Private,No,No,Not applicable,Not applicable,Not applicable,"City,50-250000",$15000 to 17499,White,Female,14,24,0,46
Working fulltime,Government,No,No,Not at all likely,Not easy,Not likely,"City,50-250000",$15000 to 17499,White,Female,12,40,3,48
Working parttime,Private,No,No,Somewhat likely,Somewhat easy,Not likely,"City,50-250000",$8 000 to 9 999,White,Male,13,20,0,25
Temp not working,Private,Not applicable,Not applicable,No answer,No answer,No answer,"City,50-250000",$8 000 to 9 999,White,Female,14,24,1,21
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Very easy,Not likely,"City,50-250000",$20000 to 22499,Black,Male,14,54,5,42
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Male,12,64,5,39
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not easy,Not likely,"City,50-250000",$110000 or over,White,Male,16,58,2,52
Working fulltime,Government,No,No,Somewhat likely,Not easy,Not likely,"City,50-250000",$50000 to 59999,White,Female,16,46,0,64
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Female,16,40,2,45
Working fulltime,Private,No,No,Somewhat likely,Not easy,Not likely,"City,50-250000",Not applicable,White,Male,13,42,2,45
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Very easy,Not likely,"City,50-250000",$75000 to $89999,White,Female,19,45,0,69
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",$75000 to $89999,White,Female,16,28,1,45
Working parttime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Female,12,75,0,34
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"City,50-250000",$60000 to 74999,White,Female,20,64,2,74
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"City,50-250000",$60000 to 74999,White,Female,16,31,0,53
Working fulltime,Private,No,No,Not at all likely,Somewhat easy,Not likely,"City,50-250000",$40000 to 49999,Black,Female,15,35,2,48
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Male,12,65,3,50
Retired,Government,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Male,12,66,3,63
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Somewhat easy,Not too likely,"City,50-250000",$40000 to 49999,White,Male,16,30,1,47
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Female,12,89 or older,1,47
Keeping house,Private,Yes,No,Not applicable,Not applicable,Not applicable,"City,50-250000",$12500 to 14999,White,Male,13,24,0,43
Working fulltime,Government,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,"City,50-250000",$22500 to 24999,White,Male,19,29,0,56
"Unempl, laid off",Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",Under $1 000,Black,Female,11,19,1,21
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Female,12,60,4,21
Working fulltime,Private,No,No,Very likely,Not easy,Not likely,"City,50-250000",$17500 to 19999,White,Female,13,28,3,26
Working parttime,Private,Yes,No,Very likely,Very easy,Not too likely,"City,50-250000",Not applicable,White,Male,17,52,2,48
Keeping house,Government,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",$1 000 to 2 999,White,Female,9,34,5,48
Working fulltime,Private,No,No,Somewhat likely,Very easy,Not likely,"City,50-250000",Not applicable,White,Female,15,22,0,46
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Male,10,72,3,45
Keeping house,Private,No,No,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Female,12,23,0,47
Temp not working,Private,Not applicable,Not applicable,Not at all likely,Not easy,Not too likely,"City,50-250000",$1 000 to 2 999,White,Male,12,55,0,43
Keeping house,Not applicable,No,No,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Female,9,42,3,0
Working fulltime,Private,No,No,Not at all likely,Not applicable,Not applicable,"City,50-250000",$40000 to 49999,White,Male,12,78,4,28
Other,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Male,12,49,3,40
Working fulltime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,"City,50-250000",$25000 to 29999,White,Male,12,27,1,38
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"City,50-250000",$40000 to 49999,White,Female,15,63,2,56
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Very easy,Not likely,"City,50-250000",$110000 or over,White,Male,20,50,2,80
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",$20000 to 22499,White,Female,12,35,2,39
Working fulltime,Government,No,No,Not at all likely,Very easy,Not likely,"City,50-250000",$25000 to 29999,White,Female,18,28,0,61
Retired,Government,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",$30000 to 34999,White,Male,12,70,5,50
Working fulltime,Government,No,No,Not at all likely,Not easy,Not likely,"City,50-250000",$22500 to 24999,White,Female,14,67,3,47
Working fulltime,Private,No,No,Somewhat likely,Not easy,Not likely,"City,50-250000",$10000 to 12499,White,Male,15,25,0,31
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",$35000 to 39999,White,Female,12,43,3,38
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, med city",$3 000 to 3 999,White,Male,16,30,3,58
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, med city",Under $1 000,White,Female,11,65,2,31
Working fulltime,Private,No,No,Not at all likely,Not applicable,Not applicable,"Suburb, med city",$40000 to 49999,White,Female,16,50,1,17
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Very easy,Not likely,"Suburb, med city",$5 000 to 5 999,White,Female,12,52,3,32
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, med city",Not applicable,White,Male,12,65,3,50
Keeping house,Government,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, med city",Not applicable,White,Female,11,81,3,33
Working parttime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,"Suburb, med city",Not applicable,White,Male,10,18,0,31
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not easy,Not likely,"Suburb, med city",$6 000 to 6 999,White,Female,11,28,2,45
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, med city",Not applicable,White,Female,13,41,0,22
Working fulltime,Private,No,No,Not at all likely,Somewhat easy,Not too likely,"Suburb, med city",$110000 or over,White,Male,14,38,4,58
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, med city",Not applicable,White,Female,12,28,3,47
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,"Suburb, med city",Not applicable,White,Male,12,77,1,27
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,"City,50-250000",Under $1 000,White,Female,13,82,3,47
School,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",$4 000 to 4 999,White,Male,16,23,0,49
School,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",$5 000 to 5 999,White,Female,16,24,0,66
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",$6 000 to 6 999,White,Female,15,72,3,29
School,Not applicable,No,No,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Female,13,19,0,0
School,Government,No,No,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Male,15,29,0,70
School,Not applicable,No,No,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Male,15,22,0,0
Other,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Male,11,61,6,43
School,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Female,15,21,0,48
School,Private,No,No,Not applicable,Not applicable,Not applicable,"City,50-250000",$3 000 to 3 999,White,Female,13,20,0,31
School,Private,No,No,Not applicable,Not applicable,Not applicable,"City,50-250000",$3 000 to 3 999,White,Male,12,18,0,35
School,Government,No,No,Not applicable,Not applicable,Not applicable,"City,50-250000",$1 000 to 2 999,White,Male,14,21,0,55
School,Government,Yes,No,Not applicable,Not applicable,Not applicable,"City,50-250000",$6 000 to 6 999,White,Male,17,26,0,25
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not easy,Not likely,"Uninc,med city",$110000 or over,Other,Male,16,49,3,50
Working parttime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Uninc,med city",$1 000 to 2 999,White,Female,18,38,3,35
Working fulltime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,"Uninc,med city",$1 000 to 2 999,Black,Female,9,19,1,28
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Very easy,Not likely,"Uninc,med city",$35000 to 39999,White,Male,17,32,1,64
Keeping house,Not applicable,No,No,Not applicable,Not applicable,Not applicable,"Uninc,med city",Not applicable,White,Female,12,61,3,0
Other,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Uninc,med city",Not applicable,Black,Female,17,54,1,38
Working fulltime,Government,No,No,Not at all likely,Not easy,Not likely,"Uninc,med city",$60000 to 74999,Black,Male,17,66,2,58
Working fulltime,Private,Not applicable,Not applicable,Very likely,Somewhat easy,Not likely,"Uninc,med city",$7 000 to 7 999,White,Female,12,25,2,28
School,Private,No,No,Not applicable,Not applicable,Not applicable,"Uninc,med city",$4 000 to 4 999,White,Male,18,26,0,53
School,Private,No,No,Not applicable,Not applicable,Not applicable,"Uninc,med city",Not applicable,White,Female,13,24,0,33
Working parttime,Private,No,No,Somewhat likely,Very easy,Not likely,"Suburb, med city",$17500 to 19999,Black,Female,14,30,2,66
Working parttime,Private,No,No,Somewhat likely,Not easy,Not likely,"Suburb, med city",$7 000 to 7 999,White,Female,14,57,1,42
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Somewhat easy,Not likely,"Suburb, med city",$35000 to 39999,White,Female,16,23,0,66
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, med city",Not applicable,Black,Male,12,74,4,24
Working fulltime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,"Suburb, med city",$30000 to 34999,White,Male,9,39,2,35
Working fulltime,Private,No,No,Not at all likely,Not easy,Not too likely,"Suburb, med city",$20000 to 22499,White,Female,16,57,2,59
Working fulltime,Government,Not applicable,Not applicable,Very likely,Somewhat easy,Very likely,"Suburb, med city",Under $1 000,Black,Female,12,24,1,25
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, med city",$25000 to 29999,Black,Male,14,46,1,29
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"City,50-250000",Refused,Black,Female,12,57,4,39
Working fulltime,Private,No,No,Somewhat likely,Not applicable,Not applicable,"City,50-250000",$22500 to 24999,Black,Male,12,24,0,43
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,Black,Female,15,34,2,29
Working fulltime,Government,No,No,Not at all likely,Somewhat easy,Not too likely,"City,50-250000",$10000 to 12499,Black,Female,12,40,3,48
Keeping house,Private,No,No,Not applicable,Not applicable,Not applicable,"Suburb, med city",Not applicable,Black,Female,7,57,4,24
Working parttime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, med city",$4 000 to 4 999,Black,Female,11,50,3,25
Working fulltime,Private,No,No,Very likely,Somewhat easy,Not too likely,"Suburb, med city",Not applicable,Black,Female,12,38,3,16
Working parttime,Private,No,No,Very likely,Very easy,Fairly likely,"Suburb, med city",$17500 to 19999,Other,Male,3,26,1,42
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Male,17,68,1,70
Working fulltime,Private,No,Yes,Somewhat likely,Not easy,Not too likely,"City,50-250000",$40000 to 49999,White,Male,20,57,0,33
Temp not working,Private,No,No,Somewhat likely,Not easy,Not likely,"City,50-250000",Refused,White,Male,16,52,0,39
Retired,Government,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Female,12,60,2,47
Temp not working,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"City,50-250000",$50000 to 59999,White,Female,14,43,0,18
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Very easy,Not likely,"City,50-250000",$40000 to 49999,White,Male,16,40,3,66
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Uninc,med city",Not applicable,White,Male,12,70,5,27
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Uninc,med city",Not applicable,White,Female,11,79,1,45
Retired,Government,No,No,Not applicable,Not applicable,Not applicable,"Uninc,med city",$12500 to 14999,White,Male,19,57,0,75
Keeping house,Private,No,No,Not applicable,Not applicable,Not applicable,"Uninc,med city",Not applicable,White,Female,12,37,2,31
Working fulltime,Private,No,No,Not at all likely,Not easy,Not likely,"Uninc,med city",$40000 to 49999,White,Female,14,56,0,47
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,"Uninc,med city",Not applicable,White,Male,13,48,3,35
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,"Suburb, med city",Not applicable,White,Male,16,73,3,73
Working parttime,Private,No,No,Not at all likely,Somewhat easy,Not likely,"Suburb, med city",$40000 to 49999,White,Female,18,50,3,69
Retired,Government,No,No,Not applicable,Not applicable,Not applicable,"Suburb, med city",$50000 to 59999,White,Male,20,56,3,51
Retired,Government,No,No,Not applicable,Not applicable,Not applicable,"Suburb, med city",Not applicable,White,Female,14,79,1,52
Working fulltime,Private,Not applicable,Not applicable,Very likely,Very easy,Not too likely,"Suburb, med city",Not applicable,White,Female,12,21,0,31
Retired,Government,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, med city",Not applicable,White,Male,16,60,0,48
Working parttime,Private,Not applicable,Not applicable,Somewhat likely,Somewhat easy,Not likely,"Suburb, med city",$15000 to 17499,White,Female,12,21,0,31
Working fulltime,Private,No,No,Not at all likely,Very easy,Not likely,"Suburb, med city",$90000 - $109999,White,Male,18,44,1,58
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, med city",Not applicable,White,Female,11,68,3,31
Working parttime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, med city",Not applicable,White,Female,12,39,1,33
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, med city",$60000 to 74999,White,Male,14,44,2,37
Retired,Private,Yes,No,Not applicable,Not applicable,Not applicable,"Suburb, med city",Not applicable,White,Female,12,70,2,53
Keeping house,Private,No,No,Not applicable,Not applicable,Not applicable,"Suburb, med city",Not applicable,White,Female,12,34,3,38
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,"Suburb, med city",Not applicable,White,Male,12,67,3,40
Working fulltime,Private,No,No,Not at all likely,Not applicable,Not applicable,"Suburb, med city",$110000 or over,White,Male,12,52,3,35
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, med city",Not applicable,White,Female,8,89 or older,2,28
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Not easy,Not likely,"Suburb, med city",$40000 to 49999,White,Female,13,55,2,38
Temp not working,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, med city",$35000 to 39999,White,Female,13,64,2,47
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,"Suburb, med city",Not applicable,White,Male,0,75,3,59
Other,Government,No,No,Not applicable,Not applicable,Not applicable,"Suburb, med city",Not applicable,White,Female,12,59,3,46
Temp not working,Private,No,No,Not at all likely,Not easy,Not likely,"Suburb, med city",$110000 or over,White,Female,13,62,2,49
Working fulltime,Government,No,No,Not at all likely,Not applicable,Not applicable,"Suburb, med city",$75000 to $89999,White,Male,20,47,1,59
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, med city",$17500 to 19999,White,Female,12,32,2,51
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Somewhat easy,Not likely,"Suburb, med city",Not applicable,White,Female,12,36,2,45
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Male,15,80,3,72
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Male,14,87,3,53
Working fulltime,Government,No,No,Not at all likely,Not applicable,Not applicable,"City,50-250000",$25000 to 29999,White,Male,12,45,1,36
Keeping house,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Female,12,71,2,0
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Female,14,57,1,47
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,"City,50-250000",$10000 to 12499,White,Male,14,67,3,31
"Unempl, laid off",Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Female,14,21,0,33
Temp not working,Private,No,No,Not at all likely,Not applicable,Not applicable,"City,50-250000",$10000 to 12499,White,Female,13,35,0,38
Working fulltime,Private,No,No,Very likely,Somewhat easy,Not likely,"City,50-250000",$30000 to 34999,White,Female,12,58,2,53
Working fulltime,Private,No,No,Somewhat likely,Very easy,Not likely,"Suburb, med city",$20000 to 22499,White,Male,13,35,1,51
Working parttime,Private,No,No,Not at all likely,Somewhat easy,Not likely,"Suburb, med city",$15000 to 17499,White,Male,12,22,1,37
Retired,Not applicable,No,No,Not applicable,Not applicable,Not applicable,"Suburb, med city",Not applicable,White,Male,13,59,4,0
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, med city",$10000 to 12499,White,Female,9,38,3,48
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,"Suburb, med city",Not applicable,White,Male,13,83,3,49
Working fulltime,Private,Not applicable,Not applicable,Very likely,Somewhat easy,Not likely,"Suburb, med city",$22500 to 24999,Black,Male,14,25,1,48
Working parttime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,"Suburb, med city",$15000 to 17499,White,Female,13,30,2,38
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, med city",$10000 to 12499,Other,Female,10,73,5,25
